order_id,customer_id,product,city,amount,quantity,order_date
1,655,Laptop,Jakarta,16898.61,2,2026-02-27
2,143,Webcam,Jakarta,941.36,5,2026-01-23
3,605,Monitor,Jakarta,2119.19,2,2026-03-01
4,518,Headset,Jakarta,1254.12,5,2026-04-18
5,226,Monitor,Makassar,3112.76,1,2026-02-10
6,715,Monitor,Surabaya,3111.49,2,2026-03-28
7,105,Laptop,Medan,9160.6,3,2026-06-04
8,271,Laptop,Medan,14434.74,4,2026-01-21
9,566,Keyboard,Makassar,1351.09,3,2026-05-28
10,197,Webcam,Jakarta,436.66,2,2026-03-16
11,82,Mouse,Jakarta,252.05,4,2026-06-12
12,855,Keyboard,Bandung,681.24,2,2026-06-21
13,274,Webcam,Jakarta,887.3,2,2026-05-17
14,747,Mouse,Bandung,284.9,3,2026-06-13
15,705,Headset,Bandung,1463.84,1,2026-02-28
16,842,Laptop,Surabaya,12813.98,1,2026-02-24
17,936,Headset,Surabaya,661.47,4,2026-04-12
18,906,Webcam,Medan,514.3,2,2026-03-05
19,763,Headset,Makassar,746.66,5,2026-04-20
20,920,Headset,Medan,915.39,2,2026-05-11
21,506,Laptop,Jakarta,18333.23,2,2026-06-10
22,164,Webcam,Medan,877.13,4,2026-04-08
23,611,Monitor,Makassar,3005.66,5,2026-01-03
24,697,Webcam,Jakarta,945.37,5,2026-03-10
25,788,Webcam,Surabaya,489.24,4,2026-02-10
26,465,Laptop,Surabaya,19662.66,2,2026-05-10
27,935,Laptop,Surabaya,18100.03,5,2026-06-05
28,204,Mouse,Surabaya,405.0,5,2026-05-16
29,941,Laptop,Makassar,11889.87,1,2026-01-29
30,952,Keyboard,Surabaya,511.29,2,2026-05-26
31,970,Laptop,Jakarta,16782.89,1,2026-05-17
32,785,Mouse,Bandung,363.9,5,2026-02-12
33,272,Headset,Makassar,1019.33,2,2026-05-19
34,774,Webcam,Bandung,970.36,4,2026-06-21
35,666,Keyboard,Medan,1369.5,4,2026-01-31
36,254,Mouse,Jakarta,235.23,5,2026-05-22
37,236,Headset,Bandung,312.22,1,2026-02-28
38,70,Laptop,Surabaya,8850.29,2,2026-03-13
39,686,Monitor,Bandung,4156.94,5,2026-05-28
40,485,Mouse,Medan,423.0,2,2026-01-25
41,100,Webcam,Medan,683.44,4,2026-04-30
42,885,Webcam,Jakarta,938.69,1,2026-01-16
43,413,Webcam,Surabaya,1040.47,1,2026-03-05
44,197,Mouse,Makassar,279.45,4,2026-02-16
45,286,Monitor,Bandung,5497.94,1,2026-04-24
46,828,Headset,Jakarta,386.0,5,2026-01-04
47,993,Laptop,Bandung,9995.73,4,2026-05-04
48,219,Monitor,Jakarta,2658.55,1,2026-04-10
49,272,Monitor,Surabaya,3692.03,5,2026-06-19
50,736,Monitor,Bandung,2759.59,2,2026-01-15
51,594,Webcam,Makassar,448.77,3,2026-01-15
52,52,Headset,Medan,1154.85,5,2026-02-10
53,59,Headset,Jakarta,1747.28,1,2026-06-02
54,70,Webcam,Bandung,723.02,5,2026-03-05
55,593,Headset,Jakarta,1352.95,4,2026-06-18
56,598,Headset,Makassar,837.83,3,2026-02-22
57,686,Webcam,Surabaya,590.95,4,2026-02-03
58,688,Webcam,Surabaya,765.78,1,2026-01-03
59,470,Headset,Makassar,1993.36,1,2026-05-18
60,219,Headset,Surabaya,525.18,3,2026-01-18
61,901,Mouse,Surabaya,213.99,4,2026-05-20
62,721,Keyboard,Makassar,1479.01,5,2026-01-03
63,684,Headset,Surabaya,1883.99,1,2026-02-04
64,271,Laptop,Jakarta,16909.0,2,2026-03-11
